brand,series,model,phase,nominal_ac_power_w,max_pv_input_power_w,max_pv_voltage_v,startup_voltage_v,mppt_voltage_min_v,mppt_voltage_max_v,mppt_count,strings_per_mppt,max_input_current_per_mppt_a,max_short_circuit_current_per_mppt_a,battery_nominal_voltage_v,battery_voltage_range_v,data_status,notes
Solis,S6 EH1P,S6-EH1P6K-L-EU,single-phase,6000,9600,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH1P,S6-EH1P8K-L-PRO,single-phase,8000,16000,600,90,90,520,3,2+1+1,16,24,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH1P,S6-EH1P10K-L-PRO,single-phase,10000,20000,600,90,90,520,3,2+1+1,16,24,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P5K-H-EU,three-phase,5000,8000,1000,180,160,850,2,1+1,16,20,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P6K-H-EU,three-phase,6000,9600,1000,180,160,850,2,1+1,16,20,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P8K-H-EU,three-phase,8000,12800,1000,180,160,850,2,1+1,16,20,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P10K-H-EU,three-phase,10000,16000,1000,180,160,850,2,1+1,16,20,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P12K-H-EU,three-phase,12000,19200,1000,180,160,850,2,2+2,32,40,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P15K-H-EU,three-phase,15000,24000,1000,180,160,850,2,2+2,32,40,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P20K-H-EU,three-phase,20000,32000,1000,180,160,850,2,2+2,32,40,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P29.9K-H,three-phase,29900,44850,1000,180,150,850,4,2+2+2+2,32,40,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P30K-H,three-phase,30000,45000,1000,180,150,850,4,2+2+2+2,32,40,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P40K-H,three-phase,40000,60000,1000,180,150,850,4,2+2+2+2,32,40,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH3P,S6-EH3P50K-H,three-phase,50000,75000,1000,180,150,850,4,2+2+2+2,32,40,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
